0 1 0
1 2 -10
2 3 -29
3 4 -25
4 5 35
5 6 158
6 7 337
7 8 539
8 9 732
9 10 915
10 11 1098
11 12 1281
12 13 1464
13 14 1647
14 15 1830
15 16 2013
16 17 2196
17 18 2379
18 19 2562
19 20 2745
20 21 2928
21 22 3111
22 23 3294
23 24 3477
24 25 3660
25 26 3843
26 27 4026
27 28 4209
28 29 4392
29 30 4575
30 31 4758
31 32 4941
32 33 5124
33 34 5307
34 35 5490
35 36 5673
36 37 5856
37 38 6039
38 39 6222
39 40 6405
40 41 6588
41 42 6771
42 43 6954
43 44 7137
44 45 7320
45 46 7503
46 47 7686
47 48 7869
48 49 8052
49 50 8235
50 51 8418
51 52 8601
52 53 8784
53 54 8967
54 55 9150
55 56 9333
56 57 9516
57 58 9699
58 59 9882
59 60 10065
60 61 10248
61 62 10431
62 63 10614
63 64 10797
64 65 10980
65 66 11163
66 67 11346
67 68 11529
68 69 11712
69 70 11895
70 71 12078
71 72 12261
72 73 12444
73 74 12627
74 75 12810
75 74 12993
76 73 13196
77 72 13417
78 71 13592
79 70 13655
80 69 13592
81 68 13417
82 67 13196
83 66 12993
84 65 12810
85 64 12627
86 63 12444
87 62 12261
88 61 12078
89 60 11895
90 59 11712
91 58 11529
92 57 11346
93 56 11163
94 55 10980
95 54 10797
96 53 10614
97 52 10431
98 51 10248
99 50 10065
100 49 9882
101 48 9699
102 47 9516
103 46 9333
104 45 9150
105 44 8967
106 43 8784
107 42 8601
108 41 8418
109 40 8235
110 39 8052
111 38 7869
112 37 7686
113 36 7503
114 35 7320
115 34 7137
116 33 6954
117 32 6771
118 31 6588
119 30 6405
120 29 6222
121 28 6039
122 27 5856
123 26 5673
124 25 5490
125 24 5307
126 23 5124
127 22 4941
128 21 4758
129 20 4575
130 19 4392
131 18 4209
132 17 4026
133 16 3843
134 15 3660
135 14 3477
136 13 3294
137 12 3111
138 11 2928
139 10 2745
140 9 2562
141 8 2379
142 7 2196
143 6 2013
144 5 1830
145 4 1647
146 3 1464
147 2 1281
148 1 1098
149 0 915
150 -1 732
151 -2 549
152 -3 366
153 -4 183
154 -5 0
155 -6 -183
156 -7 -366
157 -8 -549
158 -9 -732
159 -10 -915
160 -11 -1098
161 -12 -1281
162 -13 -1464
163 -14 -1647
164 -15 -1830
165 -16 -2013
166 -17 -2196
167 -18 -2379
168 -19 -2562
169 -20 -2745
170 -21 -2928
171 -22 -3111
172 -23 -3294
173 -24 -3477
174 -25 -3660
175 -26 -3843
176 -27 -4026
177 -28 -4209
178 -29 -4392
